latitude,longitude,name,distance
40.6925,-74.1686,"New York - Newark International, NJ",13
40.7772,-73.8725,New York - La Guardia,13
40.6397,-73.7789,"New York - JFK International, NY",20
41.0669,-73.7075,Westchester County,47
40.6522,-75.4408,Allentown/Bethl,120
40.7772,-73.8725,New York - La Guardia,9
40.6925,-74.1686,"New York - Newark International, NJ",17
40.6397,-73.7789,"New York - JFK International, NY",21
41.0669,-73.7075,Westchester County,41
40.6522,-75.4408,Allentown/Bethl,123
40.6925,-74.1686,"New York - Newark International, NJ",13
40.7772,-73.8725,New York - La Guardia,13
40.6397,-73.7789,"New York - JFK International, NY",20
41.0669,-73.7075,Westchester County,47
40.6522,-75.4408,Allentown/Bethl,120
40.7772,-73.8725,New York - La Guardia,9
40.6925,-74.1686,"New York - Newark International, NJ",17
40.6397,-73.7789,"New York - JFK International, NY",20
41.0669,-73.7075,Westchester County,42
40.6522,-75.4408,Allentown/Bethl,123
40.6925,-74.1686,"New York - Newark International, NJ",12
40.7772,-73.8725,New York - La Guardia,14
40.6397,-73.7789,"New York - JFK International, NY",24
41.0669,-73.7075,Westchester County,45
40.6522,-75.4408,Allentown/Bethl,118
40.6925,-74.1686,"New York - Newark International, NJ",12
40.7772,-73.8725,New York - La Guardia,14
40.6397,-73.7789,"New York - JFK International, NY",24
41.0669,-73.7075,Westchester County,45
40.6522,-75.4408,Allentown/Bethl,118
40.6925,-74.1686,"New York - Newark International, NJ",12
40.7772,-73.8725,New York - La Guardia,14
40.6397,-73.7789,"New York - JFK International, NY",24
41.0669,-73.7075,Westchester County,45
40.6522,-75.4408,Allentown/Bethl,118
40.6925,-74.1686,"New York - Newark International, NJ",12
40.7772,-73.8725,New York - La Guardia,14
40.6397,-73.7789,"New York - JFK International, NY",24
41.0669,-73.7075,Westchester County,45
40.6522,-75.4408,Allentown/Bethl,118
40.6925,-74.1686,"New York - Newark International, NJ",13
40.7772,-73.8725,New York - La Guardia,13
40.6397,-73.7789,"New York - JFK International, NY",20
41.0669,-73.7075,Westchester County,47
40.6522,-75.4408,Allentown/Bethl,120
40.6925,-74.1686,"New York - Newark International, NJ",13
40.7772,-73.8725,New York - La Guardia,13
40.6397,-73.7789,"New York - JFK International, NY",21
41.0669,-73.7075,Westchester County,46
40.6522,-75.4408,Allentown/Bethl,120
40.7772,-73.8725,New York - La Guardia,11
40.6925,-74.1686,"New York - Newark International, NJ",15
40.6397,-73.7789,"New York - JFK International, NY",20
41.0669,-73.7075,Westchester County,44
40.6522,-75.4408,Allentown/Bethl,122
40.6925,-74.1686,"New York - Newark International, NJ",12
40.7772,-73.8725,New York - La Guardia,14
40.6397,-73.7789,"New York - JFK International, NY",23
41.0669,-73.7075,Westchester County,45
40.6522,-75.4408,Allentown/Bethl,119
40.7772,-73.8725,New York - La Guardia,11
40.6925,-74.1686,"New York - Newark International, NJ",15
40.6397,-73.7789,"New York - JFK International, NY",19
41.0669,-73.7075,Westchester County,44
40.6522,-75.4408,Allentown/Bethl,123
