,sofifa_id,points_per_match,plus_minus,plus_minus_wowy
0,20801.0,2.26,37.0,0.15
1,158023.0,2.32,74.0,1.13
2,190871.0,2.29,49.0,0.26
3,192985.0,2.56,50.0,0.54
4,155862.0,1.97,28.0,0.48
5,176580.0,2.34,75.0,1.14
6,177003.0,1.75,9.0,-1.05
7,183277.0,2.0,25.0,-1.01
8,182493.0,1.95,17.0,-0.82
9,182521.0,1.66,12.0,-0.72
10,188545.0,2.34,76.0,1.3
11,211110.0,2.17,25.0,-0.22
12,197781.0,1.78,15.0,0.31
13,202126.0,1.88,21.0,-0.22
14,194765.0,1.96,26.0,-0.88
15,215914.0,2.06,32.0,-0.8
16,138956.0,2.38,35.0,0.67
17,153079.0,2.5,70.0,-0.57
18,168542.0,2.54,77.0,-0.75
19,178603.0,2.21,48.0,-0.12
20,179813.0,2.21,55.0,0.73
21,190460.0,1.78,28.0,0.13
22,195864.0,1.68,13.0,0.03
23,200145.0,1.68,18.0,-0.22
24,189242.0,2.32,43.0,-0.54
25,198710.0,2.21,21.0,-0.55
26,209331.0,2.29,68.0,-0.43
27,1179.0,0.0,0.0,0.0
28,164240.0,2.46,75.0,0.9
29,167664.0,1.61,2.0,-0.98
30,173731.0,1.72,17.0,0.08
31,176676.0,1.53,1.0,-1.18
32,189511.0,2.32,73.0,0.76
33,198219.0,1.85,22.0,-0.46
34,231747.0,2.28,75.0,0.76
35,205600.0,2.07,17.0,-0.27
36,201024.0,1.96,44.0,1.4
37,201399.0,1.64,13.0,-0.66
38,192505.0,1.6,7.0,-0.2
39,152729.0,2.33,78.0,1.0
40,168651.0,2.31,77.0,1.25
41,171877.0,2.1,12.0,-0.19
42,172871.0,1.65,9.0,-0.83
43,175943.0,1.81,41.0,1.17
44,184941.0,1.85,9.0,0.5
45,188567.0,1.86,25.0,-0.47
46,189332.0,2.32,83.0,1.76
47,192387.0,1.63,6.0,-0.34
48,193041.0,0.0,0.0,0.0
49,222492.0,2.44,68.0,0.31
50,201535.0,1.54,7.0,-1.45
51,199556.0,2.29,49.0,-0.52
52,201942.0,2.28,55.0,0.09
53,184432.0,2.03,34.0,-1.46
54,208722.0,2.32,71.0,-0.15
55,135507.0,2.53,68.0,-0.74
56,171919.0,1.31,-5.0,0.09
57,176635.0,1.89,15.0,-0.32
58,177509.0,2.67,10.0,0.83
59,180206.0,2.21,38.0,0.57
60,181458.0,1.73,19.0,-0.68
61,183907.0,2.43,44.0,0.37
62,184344.0,2.27,37.0,0.24
63,189509.0,2.45,65.0,0.64
64,189513.0,1.72,24.0,0.12
65,189596.0,2.38,68.0,1.22
66,190483.0,2.44,7.0,-0.3
67,191043.0,2.28,30.0,-0.25
68,191202.0,1.79,17.0,0.58
69,192366.0,2.76,60.0,0.08
70,220834.0,1.72,8.0,-0.52
71,232363.0,1.7,25.0,-0.9
72,208421.0,2.0,29.0,-0.09
73,223848.0,1.69,17.0,0.84
74,209499.0,2.34,53.0,0.46
75,216594.0,1.64,15.0,-0.02
76,202652.0,2.49,88.0,-0.77
77,212622.0,2.37,78.0,2.21
78,192774.0,1.77,10.0,-0.27
79,197445.0,2.28,61.0,-0.29
80,203376.0,2.42,79.0,1.59
81,184087.0,1.88,29.0,0.06
82,193747.0,1.98,23.0,-0.38
83,9014.0,2.16,16.0,-0.17
84,120533.0,1.52,3.0,-0.54
85,139720.0,2.84,44.0,0.16
86,156616.0,2.26,37.0,0.28
87,164169.0,2.03,19.0,0.23
88,167397.0,0.74,-26.0,-0.32
89,168609.0,1.55,7.0,-0.33
90,170890.0,2.36,36.0,0.37
91,178518.0,1.89,22.0,0.43
92,179844.0,1.95,8.0,-0.25
93,179846.0,2.29,10.0,0.06
94,180930.0,1.68,13.0,-0.01
95,181872.0,2.24,38.0,-0.26
96,184267.0,2.32,51.0,0.88
97,188350.0,2.14,34.0,0.26
98,192629.0,1.31,4.0,1.24
99,204485.0,2.52,65.0,0.29
