,sofifa_id,shots_on_target_pct,goals,shots_on_target,shots_total,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att
0,20801.0,34.2,28.0,76.0,222.0,5.67,1.94,0.1,0.29,17.7,23.0,6.0,7.0
1,158023.0,48.2,51.0,123.0,255.0,5.7,2.75,0.18,0.37,18.7,52.0,5.0,6.0
2,190871.0,50.5,23.0,48.0,95.0,3.79,1.91,0.18,0.35,18.3,18.0,5.0,5.0
3,192985.0,39.2,6.0,20.0,51.0,2.52,0.99,0.12,0.3,22.9,6.0,0.0,0.0
4,155862.0,30.2,10.0,13.0,43.0,1.11,0.34,0.05,0.15,12.0,3.0,8.0,8.0
5,176580.0,44.1,25.0,71.0,161.0,3.51,1.55,0.12,0.28,15.3,8.0,5.0,5.0
6,177003.0,35.3,3.0,18.0,51.0,1.36,0.48,0.06,0.17,20.3,0.0,0.0,0.0
7,183277.0,41.7,21.0,48.0,115.0,2.65,1.11,0.13,0.31,16.8,2.0,6.0,6.0
8,182493.0,44.0,4.0,11.0,25.0,0.67,0.3,0.16,0.36,8.3,0.0,0.0,0.0
9,182521.0,31.3,1.0,15.0,48.0,1.32,0.41,0.02,0.07,23.7,0.0,0.0,0.0
10,188545.0,40.3,40.0,75.0,186.0,4.01,1.62,0.18,0.44,11.9,6.0,7.0,8.0
11,211110.0,34.4,10.0,31.0,90.0,2.95,1.02,0.1,0.29,19.5,4.0,1.0,1.0
12,197781.0,38.1,6.0,16.0,42.0,2.19,0.84,0.14,0.38,16.3,4.0,0.0,0.0
13,202126.0,45.9,24.0,61.0,133.0,3.58,1.64,0.14,0.31,15.5,6.0,5.0,5.0
14,194765.0,43.1,21.0,59.0,137.0,3.04,1.31,0.13,0.31,18.6,18.0,3.0,3.0
15,215914.0,23.7,5.0,9.0,38.0,0.81,0.19,0.13,0.56,17.7,0.0,0.0,0.0
16,138956.0,26.3,1.0,5.0,19.0,0.65,0.17,0.05,0.2,11.1,0.0,0.0,0.0
17,153079.0,39.8,32.0,66.0,166.0,4.47,1.78,0.17,0.42,14.0,3.0,4.0,6.0
18,168542.0,33.3,10.0,25.0,75.0,1.82,0.61,0.13,0.4,13.1,5.0,0.0,0.0
19,178603.0,30.3,2.0,10.0,33.0,1.04,0.32,0.06,0.2,8.8,0.0,0.0,0.0
20,179813.0,48.5,23.0,32.0,66.0,2.64,1.28,0.27,0.56,11.8,2.0,4.0,5.0
21,190460.0,37.5,10.0,45.0,120.0,2.6,0.97,0.08,0.22,22.6,17.0,0.0,0.0
22,195864.0,41.6,16.0,47.0,113.0,2.54,1.06,0.07,0.17,21.5,7.0,8.0,11.0
23,200145.0,19.6,4.0,10.0,51.0,1.42,0.28,0.08,0.4,18.2,1.0,0.0,0.0
24,189242.0,44.4,11.0,52.0,117.0,3.16,1.4,0.08,0.17,18.8,4.0,2.0,2.0
25,198710.0,48.9,7.0,22.0,45.0,2.46,1.2,0.16,0.32,16.4,4.0,0.0,0.0
26,209331.0,39.4,27.0,74.0,188.0,3.91,1.54,0.12,0.3,16.5,5.0,5.0,5.0
27,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,164240.0,0.0,0.0,0.0,18.0,0.52,0.0,0.0,0.0,9.3,0.0,0.0,0.0
29,167664.0,25.5,5.0,13.0,51.0,3.51,0.9,0.1,0.38,14.2,0.0,0.0,0.0
30,173731.0,43.1,11.0,44.0,102.0,3.72,1.61,0.1,0.23,17.7,10.0,1.0,1.0
31,176676.0,36.2,3.0,17.0,47.0,1.58,0.57,0.06,0.18,21.2,0.0,0.0,0.0
32,189511.0,10.0,0.0,1.0,10.0,0.21,0.02,0.0,0.0,20.3,0.0,0.0,0.0
33,198219.0,29.4,14.0,42.0,143.0,4.47,1.31,0.08,0.29,19.8,10.0,2.0,3.0
34,231747.0,50.9,39.0,84.0,165.0,4.37,2.22,0.22,0.43,13.6,1.0,3.0,5.0
35,205600.0,0.0,0.0,0.0,2.0,0.14,0.0,0.0,0.0,9.5,0.0,0.0,0.0
36,201024.0,29.0,2.0,9.0,31.0,0.68,0.2,0.06,0.22,9.7,0.0,0.0,0.0
37,201399.0,31.9,17.0,29.0,91.0,2.92,0.93,0.11,0.34,10.8,1.0,7.0,8.0
38,192505.0,51.9,15.0,40.0,77.0,2.28,1.19,0.19,0.38,11.4,1.0,0.0,0.0
39,152729.0,48.3,7.0,14.0,29.0,0.56,0.27,0.24,0.5,7.2,0.0,0.0,0.0
40,168651.0,31.4,5.0,22.0,70.0,1.49,0.47,0.07,0.23,21.9,0.0,0.0,0.0
41,171877.0,22.2,1.0,4.0,18.0,1.18,0.26,0.06,0.25,22.0,0.0,0.0,0.0
42,172871.0,17.4,2.0,4.0,23.0,0.71,0.12,0.09,0.5,15.3,0.0,0.0,0.0
43,175943.0,44.0,19.0,51.0,116.0,3.5,1.54,0.16,0.35,17.4,5.0,1.0,1.0
44,184941.0,45.8,2.0,11.0,24.0,1.74,0.8,0.08,0.18,16.7,4.0,0.0,0.0
45,188567.0,39.6,31.0,55.0,139.0,3.25,1.28,0.19,0.49,13.7,2.0,4.0,5.0
46,189332.0,36.4,3.0,8.0,22.0,0.44,0.16,0.14,0.38,14.2,0.0,0.0,0.0
47,192387.0,37.2,19.0,48.0,129.0,3.57,1.33,0.09,0.23,15.3,1.0,5.0,6.0
48,193041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,222492.0,40.2,16.0,35.0,87.0,2.9,1.17,0.18,0.46,16.6,7.0,0.0,0.0
50,201535.0,18.2,2.0,4.0,22.0,0.55,0.1,0.09,0.5,8.7,0.0,0.0,0.0
51,199556.0,28.6,1.0,2.0,7.0,0.22,0.06,0.14,0.5,19.2,0.0,0.0,0.0
52,201942.0,41.8,16.0,38.0,91.0,2.45,1.02,0.16,0.39,14.4,0.0,1.0,1.0
53,184432.0,37.5,1.0,9.0,24.0,0.44,0.17,0.04,0.11,16.2,0.0,0.0,1.0
54,208722.0,44.3,26.0,51.0,115.0,2.41,1.07,0.23,0.51,11.8,0.0,0.0,1.0
55,135507.0,19.5,1.0,8.0,41.0,1.1,0.21,0.02,0.13,20.9,0.0,0.0,0.0
56,171919.0,19.0,0.0,4.0,21.0,1.64,0.31,0.0,0.0,13.5,3.0,0.0,0.0
57,176635.0,50.0,6.0,8.0,16.0,0.6,0.3,0.38,0.75,12.9,0.0,0.0,0.0
58,177509.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0
59,180206.0,22.2,4.0,10.0,45.0,1.28,0.29,0.04,0.2,23.1,5.0,2.0,2.0
60,181458.0,27.2,9.0,34.0,125.0,3.19,0.87,0.06,0.21,15.7,4.0,2.0,2.0
61,183907.0,17.6,0.0,3.0,17.0,0.64,0.11,0.0,0.0,20.3,0.0,0.0,0.0
62,184344.0,31.6,3.0,6.0,19.0,0.49,0.16,0.16,0.5,17.5,0.0,0.0,0.0
63,189509.0,21.6,3.0,8.0,37.0,0.97,0.21,0.08,0.38,20.6,1.0,0.0,0.0
64,189513.0,34.5,10.0,20.0,58.0,1.11,0.38,0.09,0.25,22.5,14.0,5.0,8.0
65,189596.0,40.7,9.0,33.0,81.0,2.25,0.92,0.1,0.24,13.2,0.0,1.0,1.0
66,190483.0,28.6,1.0,8.0,28.0,2.9,0.83,0.04,0.13,20.5,0.0,0.0,0.0
67,191043.0,29.6,1.0,8.0,27.0,0.75,0.22,0.04,0.13,14.5,0.0,0.0,0.0
68,191202.0,23.1,1.0,3.0,13.0,0.35,0.08,0.08,0.33,17.2,0.0,0.0,0.0
69,192366.0,26.9,1.0,7.0,26.0,0.93,0.25,0.04,0.14,10.9,0.0,0.0,0.0
70,220834.0,41.0,6.0,32.0,78.0,2.97,1.22,0.08,0.19,17.7,1.0,0.0,0.0
71,232363.0,23.5,0.0,4.0,17.0,0.39,0.09,0.0,0.0,10.2,0.0,0.0,0.0
72,208421.0,36.2,6.0,25.0,69.0,1.59,0.58,0.09,0.24,18.5,1.0,0.0,1.0
73,223848.0,31.8,7.0,27.0,85.0,2.84,0.9,0.06,0.19,18.0,7.0,0.0,0.0
74,209499.0,22.7,1.0,5.0,22.0,0.68,0.15,0.05,0.2,23.4,0.0,0.0,0.0
75,216594.0,44.7,12.0,55.0,123.0,4.07,1.82,0.07,0.15,21.0,21.0,4.0,7.0
76,202652.0,48.6,25.0,54.0,111.0,2.42,1.18,0.23,0.46,13.7,1.0,0.0,0.0
77,212622.0,28.1,2.0,9.0,32.0,0.67,0.19,0.06,0.22,16.8,0.0,0.0,0.0
78,192774.0,17.6,2.0,3.0,17.0,0.51,0.09,0.12,0.67,8.5,0.0,0.0,0.0
79,197445.0,34.5,3.0,19.0,55.0,1.36,0.47,0.05,0.16,26.1,19.0,0.0,0.0
80,203376.0,31.7,6.0,13.0,41.0,0.83,0.26,0.15,0.46,12.2,1.0,0.0,0.0
81,184087.0,29.6,0.0,8.0,27.0,0.55,0.16,0.0,0.0,10.8,0.0,0.0,0.0
82,193747.0,29.6,6.0,8.0,27.0,0.69,0.21,0.22,0.75,20.1,1.0,0.0,0.0
83,9014.0,47.4,6.0,18.0,38.0,3.4,1.61,0.16,0.33,15.3,2.0,0.0,0.0
84,120533.0,25.0,3.0,4.0,16.0,1.24,0.31,0.19,0.75,7.0,0.0,0.0,0.0
85,139720.0,20.0,1.0,1.0,5.0,0.25,0.05,0.2,1.0,23.0,0.0,0.0,0.0
86,156616.0,50.0,7.0,17.0,34.0,1.58,0.79,0.21,0.41,13.1,0.0,0.0,0.0
87,164169.0,46.7,2.0,7.0,15.0,0.55,0.26,0.13,0.29,18.4,0.0,0.0,0.0
88,167397.0,38.0,16.0,41.0,108.0,3.26,1.24,0.12,0.32,15.0,8.0,3.0,5.0
89,168609.0,20.0,0.0,1.0,5.0,0.31,0.06,0.0,0.0,8.7,0.0,0.0,0.0
90,170890.0,36.4,3.0,8.0,22.0,0.62,0.23,0.14,0.38,13.5,0.0,0.0,0.0
91,178518.0,25.0,7.0,20.0,80.0,2.98,0.75,0.09,0.35,22.7,0.0,0.0,0.0
92,179844.0,56.5,5.0,13.0,23.0,1.36,0.77,0.22,0.38,13.8,0.0,0.0,0.0
93,179846.0,27.3,2.0,6.0,22.0,2.44,0.67,0.09,0.33,13.8,0.0,0.0,0.0
94,180930.0,38.0,14.0,62.0,163.0,4.66,1.77,0.09,0.23,13.5,0.0,0.0,0.0
95,181872.0,33.3,3.0,13.0,39.0,1.27,0.42,0.08,0.23,14.0,0.0,0.0,0.0
96,184267.0,42.2,10.0,27.0,64.0,1.96,0.83,0.16,0.37,18.0,1.0,0.0,0.0
97,188350.0,46.6,21.0,41.0,88.0,2.6,1.21,0.19,0.41,14.5,8.0,4.0,4.0
98,192629.0,39.7,21.0,27.0,68.0,2.59,1.03,0.24,0.59,15.3,10.0,5.0,5.0
99,204485.0,38.4,12.0,38.0,99.0,3.45,1.32,0.12,0.32,16.9,1.0,0.0,1.0
