,sofifa_id,passes_pct,passes_total_distance,passes_progressive_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assists,assisted_shots,passes_into_final_third
0,193080.0,66.1,34073.0,25774.0,97.3,99.0,52.4,0.0,1.0,15.0
1,200389.0,54.8,23171.0,17823.0,100.0,97.0,42.1,0.0,0.0,20.0
2,192119.0,76.1,22708.0,12469.0,100.0,99.3,50.9,0.0,1.0,1.0
3,167495.0,82.2,29217.0,15683.0,98.0,98.3,63.8,0.0,1.0,5.0
4,192448.0,84.9,34059.0,20266.0,99.4,99.1,67.1,0.0,1.0,5.0
5,162835.0,81.7,33624.0,20976.0,99.6,98.9,59.8,0.0,0.0,3.0
6,167948.0,76.5,37293.0,21876.0,99.2,98.3,57.1,0.0,1.0,13.0
7,210257.0,86.4,31331.0,18952.0,100.0,99.4,64.4,2.0,5.0,14.0
8,212831.0,81.7,40294.0,22189.0,98.0,98.3,61.6,0.0,0.0,14.0
